clip_name,subject,filename,onset,apex,offset,emotion,frame_folder,depth_folder,fold
spNO.10_k_735,spNO.10,k,735,737,743,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_735,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_735,2
spNO.10_k_2067,spNO.10,k,2067,2069,2072,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_2067,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_2067,2
spNO.10_l_1,spNO.10,l,1,3,8,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1,2
spNO.10_l_1086,spNO.10,l,1086,1090,1094,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1086,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1086,2
spNO.10_l_1407,spNO.10,l,1407,1414,1424,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1407,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1407,2
spNO.11_a_8,spNO.11,a,8,15,22,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_8,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_8,3
spNO.11_a_26,spNO.11,a,26,30,37,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_26,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_26,3
spNO.11_a_205,spNO.11,a,205,207,212,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_205,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_205,3
spNO.11_a_234,spNO.11,a,234,242,250,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_234,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_234,3
spNO.11_a_257,spNO.11,a,257,260,268,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_257,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_257,3
spNO.11_a_413,spNO.11,a,413,415,418,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_413,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_413,3
spNO.11_d_1982,spNO.11,d,1982,1986,1990,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_d_1982,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_d_1982,3
spNO.11_d_2487,spNO.11,d,2487,2495,2506,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_d_2487,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_d_2487,3
spNO.11_e_856,spNO.11,e,856,864,872,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_e_856,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_e_856,3
spNO.11_f_13,spNO.11,f,13,13,40,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_f_13,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_f_13,3
spNO.11_g_2001,spNO.11,g,2001,2008,2026,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_g_2001,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_g_2001,3
spNO.11_h_316,spNO.11,h,316,324,338,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_h_316,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_h_316,3
spNO.11_i_797,spNO.11,i,797,807,811,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_i_797,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_i_797,3
spNO.11_i_2740,spNO.11,i,2740,2748,2758,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_i_2740,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_i_2740,3
spNO.11_k_375,spNO.11,k,375,381,388,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_k_375,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_k_375,3
spNO.11_k_1743,spNO.11,k,1743,1746,1747,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_k_1743,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_k_1743,3
spNO.11_l_2733,spNO.11,l,2733,2743,2746,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_l_2733,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_l_2733,3
spNO.11_m_1602,spNO.11,m,1602,1609,1621,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_1602,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_1602,3
spNO.11_m_1855,spNO.11,m,1855,1863,1870,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_1855,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_1855,3
spNO.11_m_2240,spNO.11,m,2240,2245,2255,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_2240,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_2240,3
spNO.12_a_322,spNO.12,a,322,327,336,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_a_322,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_a_322,0
spNO.12_a_385,spNO.12,a,385,392,404,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_a_385,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_a_385,0
spNO.12_d_116,spNO.12,d,116,121,139,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_d_116,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_d_116,0
spNO.12_g_1666,spNO.12,g,1666,1672,1695,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_g_1666,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_g_1666,0
spNO.12_j_31,spNO.12,j,31,38,46,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_j_31,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_j_31,0
spNO.13_d_787,spNO.13,d,787,792,800,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_d_787,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_d_787,4
spNO.13_f_1014,spNO.13,f,1014,1018,1033,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_f_1014,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_f_1014,4
spNO.13_j_598,spNO.13,j,598,604,611,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_j_598,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_j_598,4
spNO.13_l_2080,spNO.13,l,2080,2088,2096,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_l_2080,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_l_2080,4
spNO.13_l_2096,spNO.13,l,2096,2099,2107,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_l_2096,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_l_2096,4
spNO.138_c_721,spNO.138,c,721,728,739,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.138_c_721,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.138_c_721,0
spNO.139_l_463,spNO.139,l,463,470,477,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.139_l_463,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.139_l_463,2
spNO.14_a_474,spNO.14,a,474,481,688,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.14_a_474,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.14_a_474,1
spNO.14_e_2154,spNO.14,e,2154,2160,2172,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.14_e_2154,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.14_e_2154,1
spNO.142_a_634,spNO.142,a,634,642,647,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_a_634,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_a_634,4
spNO.142_c_33,spNO.142,c,33,39,51,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_c_33,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_c_33,4
spNO.142_c_2843,spNO.142,c,2843,2851,2870,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_c_2843,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_c_2843,4
spNO.142_f_260,spNO.142,f,260,268,282,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_f_260,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_f_260,4
spNO.142_g_1408,spNO.142,g,1408,1414,1441,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_g_1408,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_g_1408,4
spNO.142_g_1566,spNO.142,g,1566,1570,1578,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_g_1566,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_g_1566,4
spNO.142_h_5,spNO.142,h,5,13,39,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_5,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_5,4
spNO.142_h_1426,spNO.142,h,1426,1429,1436,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_1426,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_1426,4
spNO.142_h_2991,spNO.142,h,2991,3001,3006,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_2991,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_2991,4
spNO.142_i_11,spNO.142,i,11,11,83,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_11,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_11,4
spNO.142_i_518,spNO.142,i,518,525,532,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_518,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_518,4
spNO.142_i_1308,spNO.142,i,1308,1314,1333,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_1308,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_1308,4
spNO.142_i_1462,spNO.142,i,1462,1469,1488,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_1462,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_1462,4
spNO.142_i_3283,spNO.142,i,3283,3286,3292,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_3283,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_3283,4
spNO.142_j_7,spNO.142,j,7,7,42,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_j_7,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_j_7,4
spNO.142_m_2231,spNO.142,m,2231,2236,2253,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_m_2231,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_m_2231,4
spNO.143_i_2895,spNO.143,i,2895,2902,2910,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.143_i_2895,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.143_i_2895,3
spNO.143_l_5,spNO.143,l,5,5,30,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.143_l_5,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.143_l_5,3
spNO.144_a_20,spNO.144,a,20,27,33,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_a_20,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_a_20,1
spNO.144_d_2384,spNO.144,d,2384,2390,2414,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_2384,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_2384,1
spNO.144_d_3048,spNO.144,d,3048,3055,3063,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_3048,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_3048,1
spNO.144_d_4414,spNO.144,d,4414,4417,4425,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_4414,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_4414,1
spNO.144_g_422,spNO.144,g,422,426,433,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_422,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_422,1
spNO.144_g_884,spNO.144,g,884,890,898,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_884,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_884,1
spNO.144_g_1659,spNO.144,g,1659,1665,1680,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_1659,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_1659,1
spNO.144_g_1824,spNO.144,g,1824,1832,1882,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_1824,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_1824,1
spNO.144_h_553,spNO.144,h,553,560,601,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_h_553,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_h_553,1
spNO.144_k_2150,spNO.144,k,2150,2155,2174,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_k_2150,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_k_2150,1
spNO.144_l_1102,spNO.144,l,1102,1105,1115,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_l_1102,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_l_1102,1
spNO.144_l_1293,spNO.144,l,1293,1299,1325,sad,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_l_1293,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_l_1293,1
spNO.144_m_928,spNO.144,m,928,935,943,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_m_928,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_m_928,1
spNO.145_g_150,spNO.145,g,150,156,158,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.145_g_150,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.145_g_150,1
spNO.145_j_1304,spNO.145,j,1304,1311,1325,happy,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.145_j_1304,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.145_j_1304,1
spNO.146_a_530,spNO.146,a,530,536,561,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.146_a_530,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.146_a_530,0
spNO.146_d_1607,spNO.146,d,1607,1615,1638,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.146_d_1607,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.146_d_1607,0
spNO.147_d_1146,spNO.147,d,1146,1150,1163,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.147_d_1146,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.147_d_1146,3
spNO.147_e_1058,spNO.147,e,1058,1069,1071,others,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.147_e_1058,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.147_e_1058,3
spNO.147_f_1473,spNO.147,f,1473,1477,1504,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.147_f_1473,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.147_f_1473,3
spNO.147_m_1840,spNO.147,m,1840,1845,1982,anger,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.147_m_1840,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.147_m_1840,3
spNO.148_a_403,spNO.148,a,403,411,435,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_a_403,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_a_403,2
spNO.148_a_925,spNO.148,a,925,933,977,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_a_925,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_a_925,2
spNO.148_b_204,spNO.148,b,204,213,218,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_b_204,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_b_204,2
spNO.148_b_287,spNO.148,b,287,290,295,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_b_287,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_b_287,2
spNO.148_b_336,spNO.148,b,336,342,348,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_b_336,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_b_336,2
spNO.148_b_560,spNO.148,b,560,568,585,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_b_560,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_b_560,2
spNO.148_b_811,spNO.148,b,811,815,820,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_b_811,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_b_811,2
spNO.148_c_161,spNO.148,c,161,166,174,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_161,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_161,2
spNO.148_c_629,spNO.148,c,629,637,662,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_629,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_629,2
spNO.148_c_801,spNO.148,c,801,806,845,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_801,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_801,2
spNO.148_c_1665,spNO.148,c,1665,1672,1890,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_1665,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_1665,2
spNO.148_c_2296,spNO.148,c,2296,2301,2308,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_2296,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_2296,2
spNO.148_c_2341,spNO.148,c,2341,2347,2372,disgust,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_c_2341,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_c_2341,2
spNO.148_d_1899,spNO.148,d,1899,1902,1909,surprise,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_d_1899,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_d_1899,2
spNO.148_d_2261,spNO.148,d,2261,2266,2272,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_d_2261,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_d_2261,2
spNO.148_d_2657,spNO.148,d,2657,2662,2665,fear,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.148_d_2657,CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.148_d_2657,2
