Subject,Filename,clip_name,emotion,fold,Onset,Apex,Offset,frame_dir,depth_dir,AU,Objective class,Duration,frame_count
spNO.10,a,spNO.10_a_116,disgust,3,116,121,125,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_a_116,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_a_116,16+24,VII,9,10
spNO.10,d,spNO.10_d_162,surprise,3,162,164,165,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_d_162,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_d_162,5,II,3,4
spNO.10,d,spNO.10_d_691,others,3,691,696,703,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_d_691,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_d_691,16+24,VII,12,13
spNO.10,f,spNO.10_f_278,fear,3,278,279,280,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_f_278,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_f_278,18,VII,2,3
spNO.10,f,spNO.10_f_280,fear,3,280,281,285,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_f_280,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_f_280,28,VII,5,6
spNO.10,i,spNO.10_i_2030,disgust,3,2030,2035,2098,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_i_2030,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_i_2030,4,III,68,69
spNO.10,i,spNO.10_i_2864,anger,3,2864,2868,2874,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_i_2864,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_i_2864,14,VII,10,11
spNO.10,j,spNO.10_j_1348,happy,3,1348,1351,1356,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_j_1348,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_j_1348,15,V,8,9
spNO.10,j,spNO.10_j_1565,others,3,1565,1573,1613,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_j_1565,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_j_1565,R10,IV,48,49
spNO.10,k,spNO.10_k_424,others,3,424,429,478,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_424,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_424,L2,VII,54,55
spNO.10,k,spNO.10_k_735,surprise,3,735,737,743,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_735,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_735,L2,VII,8,9
spNO.10,k,spNO.10_k_2067,surprise,3,2067,2069,2072,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_k_2067,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_k_2067,L2,VII,5,6
spNO.10,l,spNO.10_l_1,others,3,1,3,8,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1,25,II,7,8
spNO.10,l,spNO.10_l_1086,anger,3,1086,1090,1094,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1086,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1086,4,III,8,9
spNO.10,l,spNO.10_l_1407,surprise,3,1407,1414,1424,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.10_l_1407,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.10_l_1407,4,III,17,18
spNO.11,a,spNO.11_a_8,others,2,8,15,22,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_8,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_8,26,VII,14,15
spNO.11,a,spNO.11_a_26,disgust,2,26,30,37,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_26,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_26,4,III,11,12
spNO.11,a,spNO.11_a_205,surprise,2,205,207,212,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_205,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_205,25,II,7,8
spNO.11,a,spNO.11_a_234,disgust,2,234,242,250,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_234,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_234,14,VII,16,17
spNO.11,a,spNO.11_a_257,others,2,257,260,268,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_257,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_257,4,III,11,12
spNO.11,a,spNO.11_a_413,disgust,2,413,415,418,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_a_413,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_a_413,25,II,5,6
spNO.11,d,spNO.11_d_1982,fear,2,1982,1986,1990,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_d_1982,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_d_1982,L2,VII,8,9
spNO.11,d,spNO.11_d_2487,fear,2,2487,2495,2506,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_d_2487,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_d_2487,14+24,VII,19,20
spNO.11,e,spNO.11_e_856,disgust,2,856,864,872,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_e_856,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_e_856,4,III,16,17
spNO.11,f,spNO.11_f_13,others,2,13,13,40,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_f_13,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_f_13,2+1,II,27,28
spNO.11,g,spNO.11_g_2001,sad,2,2001,2008,2026,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_g_2001,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_g_2001,24+14,VII,25,26
spNO.11,h,spNO.11_h_316,surprise,2,316,324,338,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_h_316,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_h_316,25,II,22,23
spNO.11,i,spNO.11_i_797,anger,2,797,807,811,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_i_797,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_i_797,12,I,14,15
spNO.11,i,spNO.11_i_2740,disgust,2,2740,2748,2758,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_i_2740,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_i_2740,4+18+9+25,VII,18,19
spNO.11,k,spNO.11_k_1743,others,2,1743,1746,1747,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_k_1743,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_k_1743,18,VII,4,5
spNO.11,l,spNO.11_l_2733,others,2,2733,2743,2746,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_l_2733,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_l_2733,16,VII,13,14
spNO.11,m,spNO.11_m_1602,anger,2,1602,1609,1621,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_1602,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_1602,R14,VII,19,20
spNO.11,m,spNO.11_m_1855,others,2,1855,1863,1870,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_1855,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_1855,R2,VII,15,16
spNO.11,m,spNO.11_m_2240,anger,2,2240,2245,2255,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.11_m_2240,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.11_m_2240,14,VII,15,16
spNO.12,a,spNO.12_a_322,others,3,322,327,336,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_a_322,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_a_322,7,VII,14,15
spNO.12,a,spNO.12_a_385,disgust,3,385,392,404,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_a_385,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_a_385,7,VII,19,20
spNO.12,d,spNO.12_d_116,others,3,116,121,139,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_d_116,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_d_116,14,VII,23,24
spNO.12,g,spNO.12_g_1666,anger,3,1666,1672,1695,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_g_1666,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_g_1666,7,VII,29,30
spNO.12,j,spNO.12_j_31,others,3,31,38,46,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.12_j_31,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.12_j_31,4,III,15,16
spNO.13,d,spNO.13_d_787,fear,2,787,792,800,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_d_787,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_d_787,16+24,VII,13,14
spNO.13,f,spNO.13_f_1014,others,2,1014,1018,1033,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_f_1014,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_f_1014,4,III,19,20
spNO.13,j,spNO.13_j_598,others,2,598,604,611,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_j_598,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_j_598,4,III,13,14
spNO.13,l,spNO.13_l_2080,sad,2,2080,2088,2096,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_l_2080,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_l_2080,14,VII,16,17
spNO.13,l,spNO.13_l_2096,sad,2,2096,2099,2107,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.13_l_2096,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.13_l_2096,24,VII,11,12
spNO.138,c,spNO.138_c_721,surprise,3,721,728,739,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.138_c_721,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.138_c_721,7,VII,18,19
spNO.139,l,spNO.139_l_463,sad,2,463,470,477,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.139_l_463,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.139_l_463,4,III,14,15
spNO.14,a,spNO.14_a_474,disgust,1,474,481,688,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.14_a_474,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.14_a_474,38,VII,214,215
spNO.14,e,spNO.14_e_2154,sad,1,2154,2160,2172,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.14_e_2154,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.14_e_2154,L14,VII,18,19
spNO.14,j,spNO.14_j_1012,others,1,1012,1019,1038,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.14_j_1012,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.14_j_1012,14,VII,26,27
spNO.142,a,spNO.142_a_634,surprise,4,634,642,647,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_a_634,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_a_634,12,I,13,14
spNO.142,c,spNO.142_c_33,disgust,4,33,39,51,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_c_33,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_c_33,4,III,18,19
spNO.142,c,spNO.142_c_2843,disgust,4,2843,2851,2870,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_c_2843,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_c_2843,24+14,VII,27,28
spNO.142,f,spNO.142_f_260,others,4,260,268,282,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_f_260,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_f_260,16+24+14,VII,22,23
spNO.142,g,spNO.142_g_1408,sad,4,1408,1414,1441,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_g_1408,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_g_1408,24+14,VII,33,34
spNO.142,g,spNO.142_g_1566,sad,4,1566,1570,1578,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_g_1566,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_g_1566,24,VII,12,13
spNO.142,h,spNO.142_h_5,anger,4,5,13,39,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_5,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_5,14+24,VII,34,35
spNO.142,h,spNO.142_h_1426,anger,4,1426,1429,1436,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_1426,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_1426,R14,VII,10,11
spNO.142,h,spNO.142_h_2991,anger,4,2991,3001,3006,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_h_2991,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_h_2991,38,VII,15,16
spNO.142,i,spNO.142_i_11,anger,4,11,11,83,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_11,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_11,14,VII,72,73
spNO.142,i,spNO.142_i_518,disgust,4,518,525,532,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_518,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_518,4,III,14,15
spNO.142,i,spNO.142_i_1308,anger,4,1308,1314,1333,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_1308,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_1308,14,VII,25,26
spNO.142,i,spNO.142_i_1462,disgust,4,1462,1469,1488,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_1462,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_1462,4,III,26,27
spNO.142,i,spNO.142_i_3283,others,4,3283,3286,3292,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_i_3283,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_i_3283,17,VII,9,10
spNO.142,j,spNO.142_j_7,happy,4,7,7,42,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_j_7,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_j_7,25+12,VII,35,36
spNO.142,m,spNO.142_m_2231,anger,4,2231,2236,2253,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.142_m_2231,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.142_m_2231,L14,VII,22,23
spNO.143,i,spNO.143_i_2895,others,0,2895,2902,2910,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.143_i_2895,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.143_i_2895,39,VII,15,16
spNO.143,l,spNO.143_l_5,others,0,5,5,30,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.143_l_5,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.143_l_5,14,VII,25,26
spNO.144,a,spNO.144_a_20,disgust,4,20,27,33,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_a_20,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_a_20,R12,I,13,14
spNO.144,d,spNO.144_d_2384,fear,4,2384,2390,2414,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_2384,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_2384,21,VII,30,31
spNO.144,d,spNO.144_d_3048,surprise,4,3048,3055,3063,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_3048,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_3048,L2+L1,II,15,16
spNO.144,d,spNO.144_d_4414,surprise,4,4414,4417,4425,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_d_4414,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_d_4414,5,II,11,12
spNO.144,g,spNO.144_g_422,sad,4,422,426,433,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_422,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_422,9,IV,11,12
spNO.144,g,spNO.144_g_884,surprise,4,884,890,898,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_884,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_884,L2+L1,II,14,15
spNO.144,g,spNO.144_g_1659,sad,4,1659,1665,1680,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_1659,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_1659,14,VII,21,22
spNO.144,g,spNO.144_g_1824,anger,4,1824,1832,1882,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\frame\spNO.144_g_1824,D:\CASME PROJECT FINAL\CASME3_Dataset\Part_A_ME_clip\Part_A_ME_clip\depth\spNO.144_g_1824,14,VII,58,59
